S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,Clases
0.027471,0.34328,0.17557,0,0.0097914,0.53704,0.32331,0,0.065931,0.52564,0.8125,0.4876,0.027352,0.42308,0.15385,2
0.018815,0.50746,0.19084,0,0.0057481,0.5,0.23308,0,0.052074,0.52564,0.89063,0.39669,0.021566,0.35897,0.17308,2
0.010159,0.67164,0.20611,0,0.0017048,0.53694,0.14285,0,0.038217,0.52564,0.170001,0.74462,0.01578,0.29486,0.19231,2
0.001503,0.83582,0.22138,0,0.0023385,0.107393,0.5262,0,0.02436,0.52564,0.250939,0.109255,0.009994,0.23075,0.21154,2
0.007153,0.1,0.23665,0,0.0063818,0.161092,0.3761,0,0.010503,0.52564,0.331877,0.144048,0.004208,0.16664,0.23077,2
0.025117,0.46269,0.30534,0,0.0060571,0.77778,0.33835,0.0095238,0.063681,0.29487,0.8125,0.40496,0.03338,0.29487,0.25962,2
0.04773,0.46269,0.32061,0.040323,0.018582,0.64815,0.31579,0.066667,0.070554,0.38462,0.95313,0.41322,0.041385,0.39744,0.31731,2
0.13753,0.46269,0.58015,0.12903,0.12454,0.37037,0.54135,0.1619,0.11012,0.52564,1,0.57025,0.084476,0.52564,0.51923,2
1,2,0.73282,0.20161,0.23787,0.16667,0.80451,0.24762,0.17383,0.4359,1,0.63636,0.13438,0.47436,0.72115,3
0.027471,0.34328,0.78626,0.30645,0.24239,0.42593,0.92481,0.39048,0.17446,0.53846,1,0.7438,0.14936,0.5,0.77885,3
0.018815,0.50746,0.90076,0.40323,0.29654,0.55556,0.96992,0.50476,0.15535,0.75641,1,0.86777,0.16144,0.62821,0.79808,3
0.016436,0.35821,0.9771,0.57258,0.54919,0.53704,1,0.64762,0.22903,0.71795,1,0.87603,0.21838,0.74359,0.89423,3
0.02702,0.26866,1,0.78226,0.62979,0.55556,1,0.90476,0.30651,0.66667,1,0.92562,0.27826,0.79487,0.99038,3
0.034015,0.40299,0.98473,0.78226,0.50655,0.62963,0.99248,0.85714,0.29167,0.5641,1,0.89256,0.26694,0.76923,0.95192,3
0.025117,0.46269,0.9084,0.57258,0.36972,0.61111,0.96992,0.58095,0.19652,0.5,1,0.7438,0.16764,0.85897,0.84615,3
0.04773,0.46269,0.69466,0.26613,0.20038,0.53704,0.83459,0.41905,0.12524,0.4359,0.95313,0.63636,0.08643,0.69231,0.60577,3
0.13753,0.46269,0.58015,0.080645,0.15202,0.44444,0.73684,0.27619,0.11791,0.35897,0.9375,0.59504,0.069225,0.39744,0.43269,1
1,2,0.63359,0.072581,0.14426,0.53704,0.77444,0.30476,0.11023,0.42308,0.92188,0.66942,0.063054,0.42308,0.43269,1
0.027471,0.34328,0.58779,0.10484,0.15327,0.61111,0.77444,0.29524,0.11295,0.39744,0.85938,0.55372,0.073788,0.34615,0.41346,1
0.018815,0.50746,0.45038,0.072581,0.15227,0.31481,0.7594,0.15238,0.12688,0.32051,0.84375,0.46281,0.077155,0.29487,0.34615,1
0.016436,0.35821,0.26718,0.024194,0.094485,0.2963,0.58647,0.066667,0.14198,0.28205,0.84375,0.46281,0.090274,0.25641,0.29808,1
0.02702,0.26866,0.22137,0,0.037113,0.5,0.38346,0.0095238,0.12402,0.29487,0.84375,0.47107,0.080982,0.15385,0.30769,1
0.034015,0.40299,0.31298,0.0080645,0.025206,0.66667,0.4812,0,0.11279,0.26923,0.75,0.49587,0.071874,0.23077,0.35577,1
0.025117,0.46269,0.29771,0.0080645,0.021166,0.66667,0.3985,0,0.087591,0.42308,0.82813,0.42975,0.0636,0.32051,0.36538,1
0.04773,0.46269,0.12214,0,0.0053493,0.42593,0.14286,0,0.060749,0.47436,0.85938,0.33884,0.033914,0.29487,0.14423,2
0.13753,0.46269,0.038168,0,0.010167,0.31481,0.16541,0,0.060538,0.29487,0.64063,0.21488,0.037167,0.19231,0.028846,2
1,2,0.091603,0,0.013025,0.48148,0.21053,0,0.052022,0.30769,0.67188,0.21488,0.043172,0.25641,0.23077,2
0.027471,0.34328,0.14504,0,0.013655,0.37037,0.22556,0,0.039489,0.47436,0.60938,0.27273,0.034799,0.25641,0.22115,2
0.018815,0.50746,0.10687,0,0.011117,0.35185,0.21053,0,0.030952,0.5,0.46875,0.28099,0.023537,0.32051,0.17308,2
0.016436,0.35821,0.061069,0,0.0052867,0.57407,0.19549,0,0.039225,0.32051,0.54688,0.2314,0.029369,0.37179,0.22115,2
0.02702,0.26866,0.14504,0,0.0045594,0.38889,0.15789,0,0.035901,0.33333,0.71875,0.21488,0.030363,0.33333,0.19231,2
0.034015,0.40299,0.23664,0.0080645,0.0038516,0.46296,0.17293,0,0.049793,0.39744,0.82813,0.29752,0.040368,0.39744,0.31731,2
0.025117,0.46269,0.43511,0.096774,0.081103,0.5,0.43609,0.047619,0.095093,0.39744,0.89063,0.38843,0.1065,0.47436,0.53846,3
0.04773,0.46269,0.63359,0.18548,0.21479,0.33333,0.69173,0.19048,0.11299,0.34615,0.98438,0.50413,0.13809,0.39744,0.48077,3
0.13753,0.46269,0.82443,0.30645,0.28523,0.37037,0.79699,0.28571,0.14149,0.48718,1,0.63636,0.17938,0.42308,0.66346,3
1,2,0.92366,0.46774,0.28595,0.42593,0.84962,0.38095,0.14366,0.75641,0.98438,0.79339,0.19879,0.65385,0.88462,3
0.027471,0.34328,0.9542,0.56452,0.33973,0.62963,0.93233,0.58095,0.11813,0.57692,0.96875,0.75207,0.19319,0.74359,0.89423,3
0.018815,0.50746,1,0.6129,0.39733,0.74074,1,0.78095,0.13617,0.46154,1,0.66116,0.21578,0.71795,0.96154,3
0.016436,0.35821,0.99237,0.69355,0.42796,0.62963,1,0.77143,0.14527,0.58974,1,0.73554,0.19799,0.84615,0.96154,3
0.02702,0.26866,0.99237,0.75,0.4721,0.53704,1,0.74286,0.16415,0.55128,1,0.8595,0.2147,0.76923,0.97115,3
0.034015,0.40299,1,0.78226,0.56931,0.7037,1,0.94286,0.17316,0.60256,1,0.86777,0.2323,0.64103,0.98077,3
0.025117,0.46269,1,0.79839,0.5999,0.83333,1,0.98095,0.17471,0.78205,1,0.86777,0.21932,0.74359,0.96154,3
0.04773,0.46269,0.9771,0.69355,0.48705,0.81481,1,0.88571,0.15775,0.83333,1,0.83471,0.18386,0.79487,0.93269,3
0.13753,0.46269,0.91603,0.6129,0.40056,0.90741,1,0.8381,0.11241,0.80769,1,0.65289,0.13173,0.75641,0.80769,3
1,2,0.89313,0.59677,0.34805,0.92593,1,0.8,0.10202,0.61538,1,0.61157,0.10134,0.75641,0.74038,3
0.027471,0.34328,0.72519,0.39516,0.25024,0.74074,0.91729,0.59048,0.093674,0.44872,0.96875,0.61983,0.076104,0.64103,0.60577,3
0.018815,0.50746,0.61832,0.18548,0.22882,0.62963,0.8797,0.3619,0.067128,0.46154,0.92188,0.47934,0.056727,0.48718,0.45192,3
0.016436,0.35821,0.65649,0.16129,0.23936,0.59259,0.85714,0.28571,0.077769,0.53846,0.9375,0.4876,0.069616,0.35897,0.49038,3
0.02702,0.26866,0.42748,0.080645,0.1697,0.62963,0.70677,0.18095,0.097194,0.4359,0.85938,0.47107,0.06368,0.29487,0.41346,1
0.034015,0.40299,0.32824,0.040323,0.13357,0.61111,0.66165,0.24762,0.095088,0.28205,0.875,0.38017,0.053308,0.42308,0.375,1
0.025117,0.46269,0.54198,0.064516,0.14524,0.35185,0.72932,0.25714,0.10718,0.24359,0.875,0.33058,0.075644,0.33333,0.42308,1
0.04773,0.46269,0.64885,0.12097,0.17047,0.51852,0.82707,0.24762,0.13989,0.25641,0.85938,0.41322,0.098388,0.19231,0.41346,1
0.13753,0.46269,0.54198,0.072581,0.14304,0.75926,0.81203,0.2381,0.13011,0.26923,0.8125,0.35537,0.098497,0.076923,0.27885,1
1,2,0.41985,0,0.11391,0.61111,0.66165,0.12381,0.09189,0.24359,0.71875,0.21488,0.073684,0.064103,0.28846,1
0.027471,0.34328,0.41221,0.0080645,0.10743,0.57407,0.59398,0.12381,0.067975,0.33333,0.76563,0.29752,0.051613,0.23077,0.30769,1
0.018815,0.50746,0.39695,0.016129,0.09075,0.61111,0.61654,0.14286,0.060721,0.28205,0.73438,0.31405,0.049062,0.30769,0.27885,1
0.016436,0.35821,0.34351,0.016129,0.062107,0.35185,0.49624,0.085714,0.082182,0.12821,0.70313,0.27273,0.064238,0.25641,0.42308,1
0.02702,0.26866,0.37405,0.016129,0.064313,0.37037,0.47368,0.047619,0.086768,0.076923,0.57813,0.23967,0.071104,0.24359,0.40385,1
0.034015,0.40299,0.42748,0.016129,0.063523,0.51852,0.50376,0.047619,0.085137,0.051282,0.67188,0.23967,0.07319,0.24359,0.31731,1
0.025117,0.46269,0.41985,0.024194,0.085315,0.35185,0.52632,0.047619,0.11209,0.19231,0.82813,0.33058,0.1061,0.28205,0.38462,1
0.04773,0.46269,0.37405,0.024194,0.1056,0.25926,0.55639,0.085714,0.1211,0.35897,0.84375,0.42149,0.12643,0.30769,0.34615,1
0.13753,0.46269,0.32824,0.0080645,0.080361,0.22222,0.42857,0.047619,0.095355,0.38462,0.90625,0.44628,0.08909,0.23077,0.27885,1
0.047288,0.38806,0.28244,0,0.064489,0.33333,0.28571,0.0095238,0.068644,0.32051,0.76563,0.29752,0.045482,0.25641,0.36538,1
0.027763,0.43284,0.24427,0,0.046709,0.5,0.26316,0.019048,0.041342,0.38462,0.53125,0.26446,0.026565,0.47436,0.35577,1
0.043439,0.35821,0.23664,0,0.054091,0.40741,0.44361,0.028571,0.046848,0.41026,0.59375,0.29752,0.037322,0.41026,0.32692,2
0.055543,0.13433,0.24427,0,0.061036,0.35185,0.47368,0.019048,0.06019,0.34615,0.65625,0.26446,0.050814,0.16667,0.29808,2
0.052371,0.089552,0.16031,0.0080645,0.051045,0.35185,0.3985,0.0095238,0.044483,0.35897,0.57813,0.23967,0.044947,0.23077,0.28846,2
0.043172,0.28358,0.1374,0,0.039154,0.16667,0.24812,0.028571,0.030639,0.39744,0.5,0.20661,0.029737,0.24359,0.26923,2
0.035209,0.35821,0.24427,0,0.038297,0.22222,0.2406,0.047619,0.037299,0.32051,0.4375,0.22314,0.02626,0.19231,0.17308,2
0.041603,0.16418,0.21374,0,0.042032,0.44444,0.33835,0.019048,0.046727,0.35897,0.5625,0.22314,0.037833,0.30769,0.26923,2
0.043798,0.29851,0.29771,0,0.036753,0.42593,0.36842,0.0095238,0.042852,0.35897,0.60938,0.17355,0.036518,0.29487,0.35577,2
0.04258,0.43284,0.32061,0,0.041351,0.18519,0.43609,0.0095238,0.051724,0.24359,0.46875,0.16529,0.034616,0.33333,0.29808,2
0.035501,0.47761,0.26718,0,0.041332,0.18519,0.3609,0.0095238,0.046654,0.29487,0.40625,0.20661,0.033771,0.28205,0.13462,2
0.03975,0.40299,0.33588,0,0.041985,0.42593,0.37594,0.047619,0.053088,0.29487,0.5,0.18182,0.042298,0.076923,0.15385,2
0.053915,0.32836,0.39695,0.016129,0.049852,0.40741,0.36842,0.028571,0.064081,0.25641,0.53125,0.17355,0.061364,0.14103,0.25,2
0.053932,0.37313,0.35115,0.016129,0.048804,0.33333,0.33083,0.0095238,0.054141,0.24359,0.59375,0.2314,0.056216,0.33333,0.27885,2
0.076119,0.31343,0.31298,0.016129,0.051534,0.37037,0.40602,0.019048,0.1057,0.24359,0.875,0.32231,0.093595,0.29487,0.40385,2
0.099508,0.25373,0.37405,0.024194,0.041238,0.42593,0.44361,0.038095,0.15401,0.25641,0.96875,0.45455,0.12814,0.15385,0.44231,2
0.081036,0.26866,0.38931,0.024194,0.022519,0.55556,0.44361,0.047619,0.16546,0.34615,0.98438,0.67769,0.11347,0.26923,0.49038,2
